Statistical Area Level 2/3,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Aranda,2513,2480,2447,2421,2402,2367,2352,2324,2298,2283,2250,2214,2200,2172,2144,2127,2114,2091,2075,2071,2070,2065,2059,2065,2072,2083,2098,2113,2119,2157,2171,2210,2232,2265,2301,2334,2366,2410,2444
Belconnen,8593,8866,9173,9484,9781,10094,10371,10621,10834,11073,11298,11520,11750,11985,12242,12512,12800,13113,13407,13709,14013,14340,14655,15003,15379,15755,16154,16584,16986,17402,17806,18212,18620,19029,19419,19802,20187,20556,20922
Bruce,7641,7856,8054,8250,8420,8587,8741,8873,8995,9095,9185,9283,9407,9539,9688,9859,10060,10263,10477,10698,10934,11170,11429,11705,12006,12315,12641,12982,13321,13653,13992,14324,14660,14976,15299,15609,15918,16222,16506
Charnwood,3066,3064,3078,3086,3095,3099,3085,3071,3055,3041,3013,3000,2980,2959,2950,2935,2923,2914,2918,2908,2915,2927,2934,2941,2969,2981,3016,3055,3085,3126,3166,3210,3276,3328,3385,3438,3500,3551,3610
Cook,2856,2793,2743,2721,2703,2705,2700,2706,2722,2724,2739,2733,2718,2708,2699,2685,2677,2673,2670,2678,2686,2688,2697,2712,2721,2753,2774,2800,2833,2868,2910,2952,2996,3047,3102,3144,3194,3252,3301
Dunlop,7248,7196,7148,7088,7037,6962,6884,6791,6711,6611,6525,6432,6353,6277,6203,6129,6082,6027,5994,5967,5943,5936,5931,5949,5978,6005,6039,6102,6148,6222,6300,6385,6480,6583,6679,6784,6895,7004,7112
Evatt,5481,5445,5428,5416,5424,5416,5418,5416,5432,5416,5415,5385,5360,5337,5304,5281,5260,5248,5232,5218,5220,5232,5250,5275,5299,5350,5393,5454,5523,5574,5672,5749,5852,5944,6051,6146,6243,6359,6456
Florey,4661,4592,4545,4509,4486,4464,4450,4426,4423,4403,4374,4347,4317,4279,4250,4229,4195,4164,4153,4134,4137,4126,4136,4148,4169,4189,4210,4256,4296,4341,4399,4458,4527,4600,4668,4739,4820,4900,4983
Flynn (ACT),3600,3562,3511,3467,3426,3372,3318,3264,3214,3154,3104,3051,2999,2950,2918,2876,2843,2805,2787,2766,2748,2736,2742,2741,2747,2766,2780,2795,2817,2849,2892,2918,2971,3011,3056,3100,3157,3202,3255
Fraser,2026,1940,1873,1820,1766,1726,1693,1658,1628,1597,1567,1524,1503,1474,1448,1431,1403,1376,1374,1363,1351,1329,1328,1321,1323,1326,1323,1326,1341,1362,1377,1393,1405,1426,1453,1478,1498,1524,1545
Giralang,3327,3283,3237,3203,3168,3128,3107,3068,3032,2989,2968,2918,2885,2845,2816,2783,2755,2730,2717,2698,2692,2685,2678,2680,2689,2705,2728,2745,2773,2801,2832,2882,2919,2971,3008,3054,3109,3156,3210
Gooromon,0,0,0,164,546,1094,1768,2517,3279,4104,4982,5865,6756,7649,8524,9364,10205,10998,11769,12525,13244,13919,14579,15188,15759,16296,16787,17240,17626,17918,18143,18315,18435,18478,18484,18430,18347,18216,18042
Hawker,2971,2923,2896,2868,2849,2827,2815,2812,2805,2788,2776,2757,2734,2710,2688,2676,2667,2652,2651,2644,2646,2647,2650,2664,2682,2698,2714,2755,2771,2811,2846,2887,2936,2976,3025,3078,3125,3175,3226
Higgins,3225,3204,3195,3183,3172,3150,3127,3102,3065,3026,3004,2971,2936,2908,2874,2858,2829,2817,2807,2799,2797,2794,2799,2809,2825,2846,2873,2904,2926,2963,3001,3054,3097,3153,3192,3250,3298,3354,3406
Holt,5747,5876,6003,6127,6247,6330,6413,6480,6542,6584,6620,6634,6659,6666,6679,6698,6722,6740,6778,6805,6841,6890,6949,7006,7075,7159,7259,7345,7448,7561,7695,7826,7972,8116,8263,8421,8560,8721,8870
Kaleen,7602,7599,7601,7602,7598,7581,7569,7544,7508,7459,7420,7363,7310,7273,7217,7181,7141,7116,7099,7092,7088,7090,7103,7138,7163,7211,7273,7330,7406,7500,7594,7704,7815,7946,8069,8202,8331,8464,8596
Latham,3688,3598,3527,3461,3414,3374,3327,3288,3268,3235,3190,3163,3125,3094,3061,3035,3012,2991,2974,2955,2954,2952,2955,2958,2976,2983,3002,3038,3071,3102,3144,3202,3237,3293,3347,3403,3471,3520,3574
Lawson,2702,2738,2726,2691,2632,2546,2450,2339,2220,2128,2041,1979,1920,1886,1860,1837,1842,1853,1871,1890,1907,1917,1935,1965,1986,2015,2039,2069,2111,2138,2193,2237,2267,2322,2365,2403,2457,2493,2544
Macgregor (ACT),7157,7257,7340,7395,7424,7426,7397,7346,7270,7184,7109,7035,6961,6884,6822,6760,6709,6664,6629,6618,6602,6608,6616,6640,6668,6710,6760,6824,6893,6983,7075,7181,7303,7406,7537,7657,7789,7907,8036
Macquarie,3126,3157,3203,3248,3299,3348,3397,3440,3494,3523,3547,3567,3578,3576,3588,3589,3597,3609,3617,3631,3648,3675,3702,3727,3761,3802,3835,3885,3934,3997,4051,4128,4191,4259,4334,4415,4485,4562,4641
McKellar,2750,2728,2695,2668,2624,2593,2553,2511,2453,2407,2359,2315,2270,2226,2182,2165,2134,2106,2086,2060,2042,2031,2017,2018,2020,2024,2033,2040,2050,2063,2089,2118,2141,2175,2207,2234,2269,2300,2340
Melba,3353,3318,3298,3279,3257,3240,3214,3202,3183,3157,3125,3099,3063,3033,3013,2976,2968,2949,2941,2931,2921,2920,2924,2935,2946,2957,2984,3017,3044,3079,3119,3158,3206,3265,3306,3364,3423,3475,3526
Molonglo Corridor,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6
Page,3066,3129,3199,3262,3322,3380,3433,3484,3525,3567,3598,3613,3634,3640,3648,3665,3668,3687,3701,3707,3739,3755,3789,3822,3849,3899,3944,3993,4044,4101,4170,4234,4310,4384,4454,4539,4617,4694,4774
Scullin,3013,2976,2962,2948,2945,2937,2939,2944,2930,2932,2921,2910,2898,2883,2871,2852,2845,2844,2829,2831,2834,2837,2853,2862,2884,2910,2931,2957,2994,3033,3078,3117,3173,3216,3275,3324,3377,3427,3486
Spence,2656,2663,2660,2654,2630,2609,2591,2549,2511,2480,2445,2395,2367,2347,2307,2277,2255,2231,2220,2213,2200,2207,2199,2196,2201,2212,2231,2241,2274,2295,2326,2361,2395,2436,2472,2513,2553,2591,2634
Weetangera,2727,2670,2617,2564,2514,2461,2410,2366,2310,2259,2218,2181,2139,2103,2062,2037,2009,1984,1972,1951,1933,1942,1918,1924,1934,1945,1965,1966,1972,2003,2030,2057,2081,2116,2144,2179,2217,2246,2279
West Belconnen,1173,1965,3012,4277,5695,7127,8537,9872,11063,12209,13301,14336,15304,16264,17200,18098,18969,19796,20592,21325,21982,22556,23061,23458,23785,24019,24190,24297,24325,24245,24089,23853,23537,23272,23039,22856,22721,22593,22502
Total - Belconnen,105976,106886,108179,109864,111884,113951,116067,118022,119778,121436,123102,124598,126134,127675,129266,130923,132692,134449,136348,138195,140095,141982,143896,145858,147874,149922,151984,154120,156138,158154,160167,162132,164041,166000,167941,169903,171934,173880,175826
Canberra East (incl Airport),1257,1359,1430,1491,1538,1581,1623,1648,1679,1704,1717,1733,1742,1745,1747,1751,1754,1759,1753,1766,1758,1754,1752,1739,1743,1742,1748,1759,1768,1768,1774,1767,1769,1778,1787,1788,1793,1806,1817
Hume,383,383,383,380,380,379,379,378,376,374,373,371,368,367,367,364,361,356,352,349,346,342,338,331,330,328,323,317,315,311,308,302,295,289,283,279,272,265,257
Kowen,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,2,2,2,1,1,1,1,1,0,0
Majura,205,189,179,173,168,164,159,156,157,157,159,158,160,162,159,153,155,155,154,154,156,157,156,156,155,156,154,156,155,157,159,160,159,158,159,158,159,157,158
Total - Canberra East (SA3),1851,1937,1998,2050,2092,2130,2167,2188,2218,2241,2255,2268,2276,2280,2278,2273,2275,2275,2264,2274,2265,2258,2250,2230,2232,2230,2228,2235,2241,2238,2243,2231,2224,2226,2230,2226,2225,2228,2232
Amaroo,6153,6206,6252,6288,6317,6340,6340,6333,6321,6297,6271,6231,6193,6162,6129,6104,6082,6061,6058,6057,6057,6071,6091,6122,6157,6201,6250,6325,6393,6474,6556,6657,6762,6860,6974,7091,7202,7319,7445
Bonner,7453,7574,7690,7766,7835,7872,7889,7875,7851,7819,7781,7724,7682,7626,7597,7556,7523,7498,7482,7484,7491,7514,7539,7579,7633,7691,7766,7842,7938,8041,8151,8276,8407,8550,8691,8839,8962,9123,9266
Casey,6711,6940,7146,7332,7499,7626,7737,7822,7885,7943,7994,8015,8047,8072,8100,8138,8165,8215,8253,8306,8357,8423,8505,8572,8678,8771,8880,9002,9134,9273,9425,9592,9758,9936,10126,10297,10484,10665,10857
Crace,5010,5219,5403,5546,5669,5767,5843,5881,5908,5918,5917,5912,5890,5876,5868,5856,5838,5831,5829,5844,5847,5867,5906,5935,5980,6032,6096,6159,6235,6325,6419,6513,6621,6736,6844,6955,7078,7192,7304
Forde,4593,4738,4859,4945,5019,5063,5102,5102,5098,5084,5065,5042,5011,4986,4971,4953,4931,4914,4905,4907,4919,4936,4956,4993,5019,5065,5116,5165,5224,5295,5369,5456,5539,5629,5723,5815,5917,6010,6112
Franklin,7264,7172,7111,7051,6996,6946,6878,6803,6731,6660,6574,6504,6432,6353,6285,6243,6200,6153,6131,6128,6120,6144,6163,6204,6251,6308,6378,6451,6543,6641,6750,6860,6993,7122,7245,7373,7495,7622,7747
Gungahlin,8514,8610,8804,9066,9383,9730,10098,10475,10864,11247,11624,12001,12374,12766,13153,13576,14007,14462,14922,15396,15905,16422,16981,17561,18183,18827,19510,20217,20899,21547,22186,22813,23441,24037,24612,25166,25709,26237,26759
Gungahlin - East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gungahlin - West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hall,273,267,254,243,238,237,232,230,217,218,214,211,209,206,192,189,187,183,178,179,177,175,173,172,171,171,171,171,168,166,167,167,168,168,166,166,166,168,168
Harrison,8221,8250,8273,8266,8245,8202,8135,8047,7933,7822,7720,7613,7517,7417,7342,7273,7208,7164,7142,7123,7113,7132,7163,7200,7255,7325,7400,7491,7587,7693,7816,7962,8102,8246,8394,8540,8677,8824,8989
Jacka,726,764,786,806,850,901,962,1037,1106,1198,1282,1376,1471,1570,1651,1722,1786,1843,1904,1959,2003,2061,2110,2153,2204,2252,2302,2349,2406,2464,2517,2575,2644,2696,2752,2815,2872,2929,2991
Kenny,5,5,4,4,3,3,171,549,1121,1854,2714,3620,4562,5515,6468,7394,8275,9119,9803,10347,10767,11066,11282,11403,11445,11456,11386,11277,11137,10973,10820,10691,10584,10486,10408,10349,10301,10261,10246
Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moncrieff,6206,7044,7737,8319,8771,9082,9274,9385,9354,9318,9272,9222,9160,9104,9051,9012,8970,8943,8938,8944,8967,8997,9056,9127,9207,9304,9422,9543,9680,9833,10009,10188,10382,10586,10786,10980,11178,11378,11575
Ngunnawal,11229,11482,11670,11805,11885,11891,11854,11766,11643,11503,11376,11258,11129,11009,10903,10807,10737,10673,10625,10598,10581,10595,10612,10643,10708,10779,10861,10966,11080,11213,11370,11539,11713,11906,12106,12297,12499,12704,12906
Nicholls,6691,6757,6788,6808,6808,6783,6735,6684,6611,6540,6471,6408,6336,6267,6206,6146,6102,6061,6029,5998,5982,5976,5980,5997,6011,6046,6076,6126,6192,6254,6328,6406,6514,6610,6702,6804,6920,7017,7139
Palmerston,5581,5596,5615,5647,5676,5699,5717,5737,5746,5751,5736,5721,5709,5677,5654,5630,5610,5590,5583,5579,5588,5591,5610,5623,5668,5704,5751,5807,5867,5947,6018,6117,6203,6308,6410,6508,6621,6727,6835
Taylor,2878,3685,4510,5343,6112,6754,7252,7599,7826,8022,8157,8253,8304,8286,8277,8268,8273,8277,8288,8301,8323,8349,8367,8399,8425,8461,8498,8527,8564,8590,8639,8663,8698,8738,8772,8801,8845,8886,8934
Throsby,2875,3273,3516,3592,3648,3669,3664,3632,3570,3529,3489,3450,3416,3379,3367,3341,3328,3318,3307,3301,3288,3290,3302,3296,3308,3310,3321,3326,3336,3348,3364,3378,3406,3418,3435,3472,3480,3501,3526
Total - Gungahlin,90383,93582,96418,98827,100954,102565,103883,104957,105785,106723,107657,108561,109442,110271,111214,112208,113222,114305,115377,116451,117485,118609,119796,120979,122303,123703,125184,126744,128383,130077,131904,133853,135935,138032,140146,142268,144406,146563,148799
Arboretum,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
